title,category,lang
Кличко захворів на COVID-19,Коронавірус,uk
У Києві за добу зафіксували 635 нових випадків COVID-19,Коронавірус,uk
"Завантаження ліжок COVID-19 в Україні перевищує 60%, - МОЗ",Коронавірус,uk
У Бельгії діятиме карантин до вакцинації населення,Коронавірус,uk
COVID-лікарні на Прикарпатті завантажені на 100%,Коронавірус,uk
В українській армії за добу у 131 людини виявили коронавірус,Коронавірус,uk
В Іспанії ввели надзвичайний стан через COVID-19,Коронавірус,uk
"Українців не будуть штрафувати за відсутність маски на вулиці, - Малюська",Коронавірус,uk
Прем'єр-міністр України закликає компанії переводити роботу в онлайн,Коронавірус,uk
Глава уряду Франції пояснив умови локдауну,Коронавірус,uk
"Оновлення карантинних зон: 11 обласних центрів потрапили до ""червоної""",Коронавірус,uk
В Україні за добу зафіксували 15 331 випадок інфікування COVID-19,Коронавірус,uk
Вінницький СНІД-центр перепрофілюють в обласну інфекційну лікарню,Коронавірус,uk
Зайнятість ліжкової мережі медзакладів Львівщини – 57 відсотків,Коронавірус,uk
В Україні за добу зафіксовано 7 342 випадки коронавірусу,Коронавірус,uk
"У Європі різко зріс рівень смертності від коронавірусу, - ВООЗ",Коронавірус,uk
Уряд планує продовжити режим надзвичайної ситуації до кінця 2020 року,Коронавірус,uk
У Німеччині можуть ввести жорсткий карантин на місяць,Коронавірус,uk
"У світі знижуються темпи поширення коронавірусу, - ВООЗ",Коронавірус,uk
В Україні за добу виявили 6 377 нових випадків COVID-19,Коронавірус,uk
Шмигаль доручив главам ОДА підготувати 25 тисяч додаткових ліжок для хворих на COVID-19,Коронавірус,uk
В українській армії зафіксували 101 новий випадок COVID-19,Коронавірус,uk
В українській армії за добу COVID-19 виявили у 148 людей,Коронавірус,uk
"Приріст хворих на COVID-19 зменшиться за умови виконання карантину вихідного дня на 100%, - Ляшко",Коронавірус,uk
"Активність громадян у великих містах зменшилась на 18,5 і 27% через карантин вихідного дня, - РНБО",Коронавірус,uk
"В Україні за добу рекордна кількість хворих, видужалих і померлих від COVID-19",Коронавірус,uk
У Франції за добу зафіксували 523 смерті від коронавірусу,Коронавірус,uk
"У Словаччині за вихідні зробили 3,6 млн тестів на COVID-19, хворобу виявили в 1,1%",Коронавірус,uk
"В Україні для людей похилого віку запровадили ""пріоритетні години"" в магазинах, - Степанов",Коронавірус,uk
У Зеленського виявили коронавірус,Коронавірус,uk
"У Нью-Йорку ввели обов'язковий карантин і тест на COVID-19 для тих, хто прибуває до міста",Коронавірус,uk
В Австралії в неділю не зафіксували жодного випадку коронавірусу,Коронавірус,uk
В Україні планують ввести новий принцип оновлення карантинних зон,Коронавірус,uk
"Заповненість лікарняної мережі Львівської області становить 58,5%",Коронавірус,uk
В українській армії за добу у 159 людини виявили коронавірус,Коронавірус,uk
Степанов: Україні потрібно максимально уникати повного локдауну,Коронавірус,uk
В Україні за добу - 15 292 нових випадки COVID-19,Коронавірус,uk
"Наразі Київ та жодна область України не готові до послаблення карантину, - МОЗ",Коронавірус,uk
Вінниччина отримала 13 млн грн на забезпечення киснем ковідних пацієнтів,Коронавірус,uk
Британія не розглядає варіант загальнонаціонального карантину,Коронавірус,uk
У Разумкова діагностували коронавирус,Коронавірус,uk
За добу в Україні підтверджено 8 752 нових випадків COVID-19,Коронавірус,uk
"У МОЗ розповіли, де можна не носити маски",Коронавірус,uk
У Франції запроваджують частковий локдаун,Коронавірус,uk
Львівські школярі не вчитимуться дистанційно,Коронавірус,uk
"МОЗ працює над різними сценаріями продовження адаптивного карантину, - Шмигаль",Коронавірус,uk
В Україні за добу зафіксували 7 959 випадків COVID-19,Коронавірус,uk
МОЗ: В Україні завантаженість лікарняних ліжок для пацієнтів з COVID-19 перевищила 67%,Коронавірус,uk
Шмигаль: У мерів немає повноважень дозволяти або забороняти дію рішень уряду,Коронавірус,uk
Степанов пропонує ввести карантин вихідного дня з 14 листопада,Коронавірус,uk
За добу в Україні виявлено 6754 нових випадків COVID-19,Коронавірус,uk
Уряд розглядає введення карантину вихідного дня,Коронавірус,uk
Новий рекорд: в Україні зафіксували 9524 нових випадки захворювання на COVID-19 за добу,Коронавірус,uk
Від сьогодні у Києві посилюють карантинні обмеження,Коронавірус,uk
"Сама вакцина від COVID-19 не зупинить пандемію, - глава ВООЗ",Коронавірус,uk
У поліклініці Челябінська вибухнув кисень для хворих на коронавірус,Коронавірус,uk
У Києві за добу зафіксували 689 хворих на COVID-19,Коронавірус,uk
"Складний період із COVID-19 триватиме до квітня, - Степанов",Коронавірус,uk
"Ілон Маск отримав і позитивний, і негативний результати тесту на COVID-19",Коронавірус,uk
"Епідемія COVID-19 в Бельгії іде на спад, - науковці",Коронавірус,uk
Аваков вважає можливою заборону міжміського сполучення через COVID-19,Коронавірус,uk
МОЗ починає розгортання мобільного шпиталю у столичному Палаці спорту,Коронавірус,uk
Набув чинності закон про штрафи за відсутність масок,Коронавірус,uk
В Угорщині оголосили надзвичайний стан через ситуацію з COVID-19,Коронавірус,uk
ВООЗ повідомляє про рекордне зростання захворюваності на коронавірус,Коронавірус,uk
Львівський міський голова про Covid-19: Пожинаємо плоди минулих років,Коронавірус,uk
В Україні за добу зафіксували 9850 нових випадків захворювання на COVID-19,Коронавірус,uk
"МОЗ оприлюднило перелік країн ""червоної"" та ""зеленої"" зон",Коронавірус,uk
Італія вводить комендантську годину через COVID-19,Коронавірус,uk
У ВООЗ заявили про зростання COVID-хворих у Європі,Коронавірус,uk
Кількість заражень коронавірусом у світі перевищила 54 мільйона,Коронавірус,uk
У Києві посилять контроль за дотриманням заходів безпеки в громадському транспорті,Коронавірус,uk
За добу в Україні підтверджено 9 397 нових випадків COVID-19,Коронавірус,uk
"Україна готова розгортати гуманітарні табори на адмінкордоні з Кримом через COVID-19, - Резніков",Коронавірус,uk
"Уряд поки не збирається запроваджувати локдаун, - Шмигаль",Коронавірус,uk
В Ізраїлі аграрії знайшли застосування використаним медичним маскам,Коронавірус,uk
"У Львові розгортають додаткові місця у всіх лікарнях, де приймають хворих на Covid-19",Коронавірус,uk
В Україні за добу підтверджено 12 524 випадки коронавірусу,Коронавірус,uk
"У Вінниці дооснащують лікарні, які приймають ковідних хворих",Коронавірус,uk
"Штраф за відсутність маски будуть виписувати одразу на місці, – Степанов",Коронавірус,uk
"Жодна область не готова до пом'якшення карантину, - МОЗ",Коронавірус,uk
Словаччина закриває деякі пункти пропуску на кордоні з Україною,Коронавірус,uk
"Від COVID-19 померла Марія Щербак, дружина письменника Юрія Щербака",Коронавірус,uk
"МОЗ ініціює запровадження ""карантину вихідного дня"" вже найближчими вихідними",Коронавірус,uk
У ВООЗ вважають поспішним рішення уряду Данії знищити 17 мільйонів норок,Коронавірус,uk
В Україні за добу зафіксовано 14 580 випадків коронавірусу,Коронавірус,uk
За добу в Україні зафіксували 10 179 випадків коронавірусу,Коронавірус,uk
Науковці спрогнозували захворюваність на COVID-19 в Україні найближчими тижнями,Коронавірус,uk
Єлизавета II вперше з'явилась на публіці у захисній масці,Коронавірус,uk
В Україні за добу зафіксували 6 792 нових випадки COVID-19,Коронавірус,uk
НАТО розглядає питання про надання Україні допомоги для боротьби з COVID-19,Коронавірус,uk
В Україні за добу зафіксовано 10 746 випадків COVID-19,Коронавірус,uk
Львів збільшує кількість ліжок у лікарнях та закуповує кисень,Коронавірус,uk
"Ляшко розповів, які магазини можуть працювати під час ""карантину вихідного дня""",Коронавірус,uk
Кабмін опублікував постанову до всезагального карантину і карантину вихідного дня,Коронавірус,uk
"Під час карантину вихідного дня у супермаркетах можна продавати непродовольчі товари, - МОЗ",Коронавірус,uk
В Україні запровадили карантин вихідного дня,Коронавірус,uk
В Україні за добу виявлено 6451 новий випадок COVID-19,Коронавірус,uk
"У Словаччині перевірили на COVID-19 1,3 млн громадян, хворих - 0,63%",Коронавірус,uk
"Стадіон ""Арена Львів"" можуть використати для мобільного шпиталю",Коронавірус,uk
У США схвалили лікування COVID-19 препаратом на основі антитіл,Коронавірус,uk
"Локдаун вихідного дня допоможе без зупинки економіки ""пригальмувати"" пандемію, – Шмигаль",Коронавірус,uk
"Садовий заявив, що Львів не збирається дотримуватися карантину вихідного дня",Коронавірус,uk
У Греції закрили всі школи через спалах коронавірусу,Коронавірус,uk
"Медична система не витримає 30 тисяч COVID-хворих на добу, - Степанов",Коронавірус,uk
"Британські військові стежать за можливою дезінформацією з боку РФ про вакцини від COVID-19, - європейські ЗМІ",Коронавірус,uk
Уряд виділив 895 мільйонів на кисень для COVID-лікарень,Коронавірус,uk
"Уряд введе карантин вихідного дня, - Шмигаль",Коронавірус,uk
Резніков захворів на COVID-19,Коронавірус,uk
"Зеленський повідомив, що його повторний тест на COVID-19 виявився позитивним, але він почувається краще",Коронавірус,uk
"Львівська міськрада готує позов до суду через карантин ""вихідного дня""",Коронавірус,uk
В Сінгапурі у немовляти виявили антитіла до COVID-19,Коронавірус,uk
У лікарні у Львівській області два пацієнти на ШВЛ померли через відсутність електрики,Коронавірус,uk
З наступного четверга Чехія послаблює карантин,Коронавірус,uk
В Одесі не будуть впроваджувати карантин вихідного дня,Коронавірус,uk
Зеленський вважає карантин вихідного дня шансом уникнути локдауну,Коронавірус,uk
Зеленський оприлюднив друге відеозвернення з лікарні,Коронавірус,uk
Вінницький міський суд оштрафував чоловіка на 20 тисяч гривень за відмову одягнути маску,Коронавірус,uk
За добу в Україні зафіксували 10 611 нових випадків COVID-19,Коронавірус,uk
Угорщина дозволятиме в'їзд на свою територію у виключних випадках на час дії комендантської години,Коронавірус,uk
На Львівщині щоденно госпіталізують 180–200 пацієнтів з Covid-19,Коронавірус,uk
ВР не змогла скасувати карантин вихідного дня,Коронавірус,uk
Міністерство охорони здоров'я проситиме у ВООЗ надати медиків для екстреної медичної допомоги,Коронавірус,uk
У Верховній Раді зареєстрували постанову щодо скасування карантину вихідного дня,Коронавірус,uk
"Україна може отримати вакцину від COVID-19 навесні або влітку 2021 року, - ВООЗ",Коронавірус,uk
В Україні за добу 10 681 новий випадок коронавірусу,Коронавірус,uk
"Львівська міськрада готує позов до суду на рішення Кабміну про ""карантин вихідного дня""",Коронавірус,uk
На Прикарпатті запроваджують жорсткий карантин через &quot;критичну ситуацію&quot; з COVID-19,Коронавірус,uk
"Стало відомо, яким COVID-вакцинам довіряють українці",Коронавірус,uk
В Україні за добу зафіксували 11 787 нових випадків захворювання на COVID-19,Коронавірус,uk
В Україні за добу виявлено 11 968 хворих на COVID-19,Коронавірус,uk
"У Львові до 30 листопада суботу й неділю оголошено робочими днями, - міськрада",Коронавірус,uk
У Києві за добу підтвердили 1053 випадки коронавірусу,Коронавірус,uk
"Рішення уряду про карантин вихідного дня мають виконувати всі суб'єкти господарювання, - Шмигаль",Коронавірус,uk
Ряд міст України відмовились вводити карантин вихідного дня,Коронавірус,uk
У Сумах пропонують перенести карантин вихідного дня на понеділок і вівторок,Коронавірус,uk
"Влада Бельгії дозволила Сінтеклаасу та Пер-Ноелю порушити карантин, щоб привітати дітей з різдвяними святами",Коронавірус,uk
У міністра охорони здоров'я Степанова підтвердили коронавірус,Коронавірус,uk
Уряд Австрії оголосив повний локдаун,Коронавірус,uk
"Степанов вважає, що при скасуванні посиленого карантину захворюваність на COVID-19 зросте до 30 тис. хворих на день",Коронавірус,uk
Шмигаль: Україна закупить 6 млн експрес-тестів на COVID-19,Коронавірус,uk
"В Україні за добу виявлено 14 496 нових випадків COVID-19, одужали 15 372 особи",Коронавірус,uk
ВООЗ виступає проти примусової вакцинації від COVID-19,Коронавірус,uk
У поліції дали пояснення щодо штрафів за відсутність маски,Коронавірус,uk
"Кількість випадків COVID-19 у світі перевищила 58,5 мільйона",Коронавірус,uk
"Локдаун в Україні розірве ланцюг передачі COVID-19, - Степанов",Коронавірус,uk
В Україні за добу зафіксували 9 832 випадки коронавірусу,Коронавірус,uk
Відкрився саміт G20,Коронавірус,uk
"G20 взяла на себе керівну роль у світі в умовах пандемії та в епоху після COVID-19, - декларація",Коронавірус,uk
За добу в Україні підтверджено 12 496 нових випадків COVID-19,Коронавірус,uk
"Степанов розповів, куди звертатися COVID-хворим без сімейного лікаря",Коронавірус,uk
На Вінниччині за місяць планують додатково розгорнути півтори тисячі ковідних ліжок,Коронавірус,uk
COVAX безкоштовно виділить Україні COVID-вакцину для 20% населення,Коронавірус,uk
У Берліні під час антикарантинних протестів затримали понад 350 осіб,Коронавірус,uk
"Обсяг першої партії вакцини від COVAX для України становитиме 1,2 мільйона доз",Коронавірус,uk
Ердоган: Турецька вакцина від COVID-19 буде доступна в усьому світі,Коронавірус,uk
Макрон: Поява COVID-вакцин не повинна розділити світ,Коронавірус,uk
У Туреччині на вихідних вводять комендантську годину,Коронавірус,uk
"На випадок погіршення ситуації буде план ""Б"", - Шмигаль",Коронавірус,uk
США допоможуть Україні у підписанні контрактів на отримання вакцини від корнавірусу,Коронавірус,uk
За добу в Україні зафіксовано 13 825 випадків COVID-19,Коронавірус,uk
Степанов підписав документи для отримання вакцини від COVID-19,Коронавірус,uk
В Україні за добу зафіксували 14 575 випадків коронавірусу,Коронавірус,uk
В Україні зафіксовано 12 079 нових випадків коронавірусу,Коронавірус,uk
В українській армії за добу COVID-19 виявили у 137 людей,Коронавірус,uk
Україна перебуває на 30 місці в Європі за рівнем смертності від COVID-19,Коронавірус,uk
На Кіровоградщині застрахували медиків на випадок COVID,Коронавірус,uk
В Україні офіційно опублікували закон про штрафи за відсутність маски,Коронавірус,uk
У Львові сьогодні почнуть використовувати експрес-тести на ковід,Коронавірус,uk
"Смертність від коронавірусу в Україні є однією з найнижчих в Європі, - Степанов",Коронавірус,uk
У Києві на карантин закрито вісім шкіл і чотири дитсадки,Коронавірус,uk
У Франції вводять комендантську годину,Коронавірус,uk
У Чехії планують провести масове тестування на коронавірус,Коронавірус,uk
У Вінниці не встановлюватимуть головну ялинку до Нового року,Коронавірус,uk
"Дати введення більш жорсткого карантину у зв'язку з поширенням COVID-19 зараз немає, але такий план обговорюється з мерами, – Шмигаль",Коронавірус,uk
Масове тестування може ліквідувати коронавірус за півтора місяця,Коронавірус,uk
У Великій Британії вакцинація від коронавірусу розпочнеться 7 грудня,Коронавірус,uk
У Києві за добу виявлено 1 541 новий випадок коронавірусу,Коронавірус,uk
Китайська COVID-вакцина показала ефективність 97%,Коронавірус,uk
За добу в Україні зафіксували рекордні 16 218 нових випадків COVID-19,Коронавірус,uk
Генсек ООН закликав списати борги найбіднішим країнам через пандемію COVID-19,Коронавірус,uk
В українській армії за добу зафіксовано 184 випадки коронавірусу,Коронавірус,uk
"Масова COVID-вакцинація в Україні розпочнеться у квітні, - Радуцький",Коронавірус,uk
В Україні за добу виявили 9 946 випадків COVID-19,Коронавірус,uk
Україна посіла 17-те місце у світі за кількістю випадків COVID-19,Коронавірус,uk
На нараді у президента у понеділок визначатимуть доцільність впровадження повного локдауну,Коронавірус,uk
У Фінляндії науковці створили робота для дослідження коронавірусу,Коронавірус,uk
"""Локдаун"" до 31 січня вводиться у Грузії через зростання інфікувань COVID-19",Коронавірус,uk
Аваков виступає за повний і негайний локдаун на три тижні,Коронавірус,uk
"Українців попередять про локдаун за 7-10 днів, - МОЗ",Коронавірус,uk
"Словом 2020 року за версією словника Merriam-Webster стала ""пандемія""",Коронавірус,uk
"Уряд України готується до можливого запровадження карантину на зимові свята, - Шмигаль",Коронавірус,uk
У  Волинській  обласній  клінічній  лікарні  відкрили  ще  одне  відділення  у  ковідному  госпіталі,Коронавірус,uk
Противники вакцинації влаштували несанкціоновану акцію у Львові,Коронавірус,uk
В Україні за добу зафіксували 16 294 випадки інфікування COVID-19,Коронавірус,uk
"В ОП обговорюють дату локдауну, але все залежить від ситуації, - ЗМІ",Коронавірус,uk
"Кабмін розглядає можливість введення ""інтелектуального локдауну"", - Арахамія",Коронавірус,uk
В Україні зменшилась заповненість лікарняних ліжок для COVID-19,Коронавірус,uk
Вакцина виробництва Pfizer і BioNTech може бути сертифікована в ЄС ще до 29 грудня,Коронавірус,uk
"У Франції забракували експрес-тест на COVID-19, поширений і в Україні",Коронавірус,uk
Україна та Швейцарія підписали меморандум про створення бюджетного апарата ШВЛ,Коронавірус,uk
В Україні за добу зафіксовано 4 576 нових випадків коронавірусу,Коронавірус,uk
"Арахамія: Уряд розглядає варіант ""інтелектуального локдауну""",Коронавірус,uk
"Розробники вакцини від COVID-19 Moderna заявили про її ефективність на 94%, а у тяжких випадках - на 100%",Коронавірус,uk
До Латвії та Естонії доставлено перші партії вакцини від коронавірусу,Коронавірус,uk
"IBM попереджає, що хакери збирають дані про шляхи доставки вакцин проти COVID-19",Коронавірус,uk
"Лікарні ""Укрзалізниці"" прийматимуть пацієнтів із COVID-19",Коронавірус,uk
У МОЗ назвали області з найгіршими показниками щодо кисню для COVID-ліжок,Коронавірус,uk
В Україні зареєстрували вакцину Pfizer проти коронавірусу,Коронавірус,uk
"Степанов вважає, що карантин вихідного дня призвів до зменшення кількості хворих",Коронавірус,uk
В Україні за добу виявлено 12 047 нових випадків COVID-19,Коронавірус,uk
"Зі статистикою коронавірусу в Україні відбувається щось дивне, - експерти",Коронавірус,uk
ЦГЗ: поява нового штаму Sars-Cov-2 не є приводом для занепокоєння,Коронавірус,uk
У Вінниці відкрили відділення для вагітних жінок та породіль з COVID-19,Коронавірус,uk
"У Португалії ресторатори оголосили голодування через нові ""коронавірусні"" обмеження",Коронавірус,uk
У Латвії від коронавірусу помер південнокорейський режисер Кім Кі Дук,Коронавірус,uk
Бельгія призупинить авіарейси з Великої Британії через новий різновид коронавірусу,Коронавірус,uk
В Україні за добу зафіксували 8 641 випадок COVID-19,Коронавірус,uk
"Я не вважаю за потрібне оголошувати локдаун у грудні, - Зеленський",Коронавірус,uk
В Італії обмежать подорожі між регіонами на різдвяні свята,Коронавірус,uk
Рада схвалила штрафи за клієнтів без масок для установ і бізнесу,Коронавірус,uk
У Києві до кінця року на лікування COVID-хворих виділять 400 млн грн,Коронавірус,uk
Японія закриває кордони для іноземців до кінця січня,Коронавірус,uk
ВР прийняла закон про скорочення терміну реєстрації вакцин до п'яти днів,Коронавірус,uk
В Італії через коронавірус фіксують найвищу смертність за 60 років,Коронавірус,uk
В Україні за добу зафіксовано 10 811 випадків інфікування COVID-19,Коронавірус,uk
"Британська влада занадто пізно зважилася на локдаун у Лондоні, – Джонсон",Коронавірус,uk
"ВООЗ: Новий штам COVID-19 виявлено у Нідерландах, Данії та Австралії",Коронавірус,uk
"Локдаун в Україні введуть з 8 до 24 січня, - Кабмін",Коронавірус,uk
Сьогодні Велика Британія першою у світі розпочне масову вакцинацію від COVID-19,Коронавірус,uk
Першою в Британії вакцинувалась 90-річна жінка,Коронавірус,uk
МОЗ пропонує ввести локдаун після Нового Року,Коронавірус,uk
"Україна не залишиться у кінці світової черги на вакцину, - Кулеба",Коронавірус,uk
МОЗ назвало області з найвищим показником захворюваності COVID-19,Коронавірус,uk
За добу в Україні виявлено 5583 нові випадки COVID-19,Коронавірус,uk
